SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,PHYSNB,PHYSR,NURSNB,NURSR,HSNB,HSR
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010012,Thabeikkyin,သပိတ်ကျဉ်း,125776,14,1:8984,19,1:6619,4,1:31444
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010013,Kyaukse,ကျောက်ဆည်,258490,68,1:3801,111,1:2329,7,1:36927
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010014,Sintgaing,စဉ့်ကိုင်,132858,10,1:32858,14,1:9500,3,1:44286
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010015,Myittha,မြစ်သား,193203,14,1:14595,28,1:7297,5,1:40866
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010016,Tada-U,တံတားဦး,140700,13,1:1082,26,1:5411,6,1:2345
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010017,Myingyan,မြင်းခြံ,281489,38,1:7407,59,1:4770,9,1:31276
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010018,Taungtha,တောင်သာ,245196,13,1:18861,25,1:9807,8,1:30649
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010019,Natogyi,နွားထိုးကြီး,202284,9,1:22476,20,1:101142,8,1:25286
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010020,Kyaukpadaung,ကျောက်ပန်းတောင်း,291561,9,1:32395,27,1:10798,9,1:32395
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010021,Ngazun,ငါန်းဇွန်,140501,8,1:17563,18,1:7806,7,1:20072
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010022,Nyaung-U,ညောင်ဦး,247958,54,1:4588,125,1:1982,13,1:19059
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010023,Yamethin,ရမည်းသင်း,253940,37,1:7139,66,1:4002,7,1:37100
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010024,Pyawbwe,ပျော်ဘွယ်,272838,13,1:20987,26,1:10494,7,1:1038976
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010028,Meiktila,မိတ္ထီလာ,299943,94,1:3191,134,1:2238,14,1:21424
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010029,Mahlaing,မလှိုင်,175373,12,1:14614,21,1:8351,6,1:29229
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010030,Thazi,သာစည်,198449,12,1:16649,20,1:9989,5,1:39958
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010031,Wundwin,ဝမ်းတွင်း,235575,12,1:19631,23,1:10242,6,1:39262
MMR011,Mon,မွန်ပြည်နယ်,MMR011001,Mawlamyine,မော်လမြိုင်,258003,38,1:6789,27,1:9556,6,1:43001
MMR011,Mon,မွန်ပြည်နယ်,MMR011002,Kyaikmaraw,ကျိုက္မရော,222091,5,1:38,13,1:18,7,1:33
MMR011,Mon,မွန်ပြည်နယ်,MMR011003,Chaungzon,ချောင်းဆုံ,unknown,9,1:17932,39,1:4138,8,1:20173
MMR011,Mon,မွန်ပြည်နယ်,MMR011004,Thanbyuzayat,သံဖြူဇရပ်,160538,16,1:10033,41,1:3915,6,1:26756
MMR011,Mon,မွန်ပြည်နယ်,MMR011005,Mudon,မုဒုံ,185012,21,1:8810,29,1:6379,9,1:2056
MMR011,Mon,မွန်ပြည်နယ်,MMR011006,Ye,ရေး,265142,1,1:265142,2,1:132571,7,1:37877
MMR011,Mon,မွန်ပြည်နယ်,MMR011007,Thaton,သထုံ,233867,18,1:12993,89,1:2628,5,1:46773
