SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,PAGODANB,STUPPANB,STATUENB,MONASTERYNB,NUMBUILDNB,DHAMAHALLNB,MONKNB,YGMONKNB,NUNNB
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008013,Monyo,မိုးညို,0,123,0,177,0,12,425,228,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR008014,Gyobingauk,ကြို့ပင်ကောက်,32,136,0,216,5,25,581,181,193
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009001,Magway,မကွေး,112,130,0,426,16,162,1991,1859,436
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009002,Yenangyaung,ရေနံချောင်း,120,121,30,274,14,82,751,562,124
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009003,Chauk,ချောက်,200,111,0,341,22,16,933,514,152
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009004,Taungdwingyi,တောင်တွင်းကြီး,300,0,0,353,12,0,977,1023,94
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009005,Myothit,မြို့သစ်,87,568,0,241,0,20,521,757,0
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009006,Natmauk,နတ်မောက်,500,85,0,313,0,187,840,1409,24
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009007,Minbu,မင်းဘူး,56,154,0,300,18,142,826,498,192
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009008,Pwintbyu,ပွင့်ဖြူ,1904,315,55,315,18,164,656,418,88
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009009,Ngape,ငဖဲ,0,61,0,72,3,0,193,153,54
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009010,Salin,စလင်း,13,872,0,499,18,12,1058,1228,128
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009011,Sidoktaya,စေတုတ္တရာ,6,257,0,116,12,1,227,42,46
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009012,Thayet,သရက်,100,30,0,183,0,Unknown,228,427,655
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009013,Minhla,မင်းလှ,0,120,0,179,6,10,408,166,34
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009014,Mindon,မင်းတုန်း,172,160,0,140,1,132,263,64,20
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009015,Kamma,ကံမ,33,258,0,14,0,0,272,167,439
MMR009,Magway,မကွေးတိုင်းဒေသကြီး,MMR009016,Aunglan,အောင်လံ,53,50,50,335,19,250,1257,978,218
